Year,West,North,South
2/16/1995,2,0,0
12/18/1996,2,0,0
9/24/1997,4,0,0
9/16/1998,3,0,0
10/27/1999,2,0,0
10/19/2000,4,0,0
12/20/2001,0,0,1
12/11/2002,1,0,2
3/25/2003,3,0,2
6/28/2004,2,0,1
2/23/2005,1,0,0
12/27/2006,6,0,1
12/18/2007,4,0,0
3/5/2008,0,0,5
9/14/2009,5,0,1
12/7/2010,5,0,0
9/15/2011,5,0,0
