Date ,West,North,South
2/16/1995,10,4,0
12/18/1996,9,5,3
9/24/1997,13,1,0
9/16/1998,13,1,0
10/27/1999,18,1,2
10/19/2000,20,1,0
12/20/2001,24,0,3
12/11/2002,22,1,6
3/25/2003,20,0,13
6/28/2004,30,0,2
2/23/2005,29,0,2
12/27/2006,31,1,5
12/18/2007,34,0,3
3/5/2008,18,0,19
9/14/2009,30,1,2
12/7/2010,34,4,8
9/15/2011,42,0,6
