"","sitename","PISCO_CODE","lon_wgs84","lat_wgs84"
"145","SAN_SIMEON_DC","SSSM02",-121.190248,35.631667
"146","SAN_SIMEON_UC","SSSM01",-121.1949397,35.6305674
"147","SBI_ARCH_POINT_CEN","SAPT03",-119.028767,33.485617
"148","SBI_ARCH_POINT_N","SAPT02",-119.027217,33.4875
"149","SBI_ARCH_POINT_S","SAPT01",-119.029,33.482883
"150","SBI_CAT_CANYON_CEN","SCCN02",-119.03915,33.4644
"151","SBI_CAT_CANYON_W","SCCN01",-119.0440833,33.4644166
"152","SBI_GRAVEYARD_CANYON_CEN","SGRC02",-119.02685,33.473067
"153","SBI_GRAVEYARD_CANYON_N","SGRC01",-119.024767,33.47515
"154","SBI_SOUTHEAST_REEF_CEN","SSRE02",-119.031267,33.462933
"155","SBI_SOUTHEAST_REEF_S","SSRE01",-119.033183,33.458967
"156","SBI_SOUTHEAST_SEA_LION_CEN","SSLN02",-119.027783,33.4661
"157","SBI_SOUTHEAST_SEA_LION_N","SSLN01",-119.028117,33.470617
"158","SBI_WEBSTERS_ARCH_CEN","SWBA03",-119.0621,33.480033
"159","SBI_WEBSTERS_ARCH_E","SWBA02",-119.05355,33.478767
"160","SBI_WEBSTERS_ARCH_N","SWBA01",-119.049217,33.4903
"161","SCI_CAVERN_POINT_E","SCAV02",-119.566867,34.054283
"162","SCI_CAVERN_POINT_W","SCAV01",-119.5713,34.05275
"163","SCI_COCHE_POINT_E","SCCH02",-119.6014,34.044933
"164","SCI_COCHE_POINT_W","SCCH01",-119.604,34.04265
"165","SCI_FORNEY_E","SFOR02",-119.909667,34.051483
"166","SCI_FORNEY_W","SFOR01",-119.9182,34.053883
"167","SCI_GULL_ISLE_E","SGLI02",-119.823183,33.946467
"168","SCI_GULL_ISLE_W","SGLI01",-119.82795,33.948167
"169","SCI_HAZARDS_CEN","SHAZ03",-119.821167,34.056583
"170","SCI_HAZARDS_E","SHAZ02",-119.81935,34.054383
"171","SCI_HAZARDS_W","SHAZ01",-119.824833,34.0581
"172","SCI_LITTLE_SCORPION_E","SLSC02",-119.535733,34.0434
"173","SCI_LITTLE_SCORPION_W","SLSC01",-119.54245,34.04415
"174","SCI_PAINTED_CAVE_CEN","SPTC03",-119.870983,34.072867
"175","SCI_PAINTED_CAVE_E","SPTC02",-119.85755,34.0719
"176","SCI_PAINTED_CAVE_W","SPTC01",-119.882133,34.074483
"177","SCI_PELICAN_CEN","SPEL04",-119.69665,34.03065
"178","SCI_PELICAN_E","SPEL03",-119.690917,34.02805
"179","SCI_PELICAN_FAR_WEST","SPEL02",-119.6988833,34.0324
"180","SCI_PELICAN_W","SPEL01",-119.7023,34.035867
"181","SCI_POTATO_PASTURE_E","SPOP02",-119.575883,34.050983
"182","SCI_POTATO_PASTURE_W","SPOP01",-119.582117,34.052167
"183","SCI_SAN_PEDRO_POINT_E","SSPP02",-119.5253,34.038367
"184","SCI_SAN_PEDRO_POINT_W","SSPP01",-119.5316,34.04225
"185","SCI_SCORPION_ANCHORAGE_CEN","SSCA01",-119.5514,34.047983
"186","SCI_SCORPION_E","SSCP02",-119.546367,34.048467
"187","SCI_SCORPION_W","SSCP01",-119.55525,34.0525
"188","SCI_VALLEY_CEN","SVAL03",-119.6384,33.983617
"189","SCI_VALLEY_E","SVAL02",-119.620317,33.98355
"190","SCI_VALLEY_W","SVAL01",-119.6637,33.9817
"191","SCI_YELLOWBANKS_CEN","SYEL03",-119.546983,33.988533
"192","SCI_YELLOWBANKS_E","SYEL02",-119.5459333,34.0004333
"193","SCI_YELLOWBANKS_W","SYEL01",-119.564933,33.9893
"194","SIREN_CEN","SSRN01",-121.9185902,36.6307335
"195","SMI_BAY_POINT_CEN","SBPT01",-120.30995,34.03765
"196","SMI_CROOK_POINT_E","SCRK02",-120.3305,34.015867
"197","SMI_CROOK_POINT_W","SCRK01",-120.337333,34.01385
"198","SMI_CUYLER_E","SCUY02",-120.346183,34.051717
"199","SMI_CUYLER_W","SCUY01",-120.3526,34.05705
"200","SMI_HARRIS_PT_RESERVE_E","SHPT02",-120.337383,34.052783
"201","SMI_HARRIS_PT_RESERVE_W","SHPT01",-120.355983,34.063683
"202","SMI_TYLER_BIGHT_E","STYB02",-120.4067,34.025467
"203","SMI_TYLER_BIGHT_W","STYB01",-120.411744,34.027292
"204","SOBERANES_CEN","SSOB01",-121.9291444,36.4453426
"205","SOUTH_WRECK_DC","SSWR02",-121.7874083,36.2238636
"206","SOUTH_WRECK_UC","SSWR01",-121.7905448,36.2252947
"207","SPANISH_BAY_DC","SSPB02",-121.9546055,36.616662
"208","SPANISH_BAY_UC","SSPB01",-121.9538365,36.6188088
"209","SPROUTS_CEN","SPRT01",-122.0731594,36.9469424
"210","SRI_BEACON_REEF_E","SBEA02",-120.038,34.037383
"211","SRI_BEACON_REEF_W","SBEA01",-120.043233,34.040667
"212","SRI_BEE_ROCK_E","SBEE02",-120.21055,33.9478
"213","SRI_BEE_ROCK_W","SBEE01",-120.2119,33.9539
"214","SRI_CARRINGTON_CEN","SCRR03",-120.05953,34.0377818
"215","SRI_CARRINGTON_E","SCRR02",-120.04256,34.0414242
"216","SRI_CARRINGTON_W","SCRR01",-120.0701,34.0316808
"217","SRI_CHICKASAW_E","SCHK02",-120.136367,33.900167
"218","SRI_CHICKASAW_W","SCHK01",-120.13975,33.901117
"219","SRI_CLUSTER_POINT_N","SCPT02",-120.197417,33.931667
"220","SRI_CLUSTER_POINT_S","SCPT01",-120.192,33.923833
"221","SRI_FORD_POINT_CEN","SFPT01",-120.210428544,33.9478
"222","SRI_JOHNSONS_LEE_NORTH_E","SJLN02",-120.099167,33.90295
"223","SRI_JOHNSONS_LEE_NORTH_W","SJLN01",-120.09915,33.9009
"224","SRI_JOHNSONS_LEE_SOUTH_E","SJLS02",-120.100383,33.897433
"225","SRI_JOHNSONS_LEE_SOUTH_W","SJLS01",-120.104317,33.895133
"226","SRI_JOLLA_VIEJA_E","SJLV02",-120.06745,33.90683333
"227","SRI_JOLLA_VIEJA_W","SJLV01",-120.0697,33.90635
"228","SRI_MONACOS_E","SMNC02",-120.0100833,33.98366667
"229","SRI_MONACOS_W","SMNC01",-120.0117,33.987967
"230","SRI_RODES_REEF_E","SRRE02",-120.1072,34.0325
"231","SRI_RODES_REEF_W","SRRE01",-120.10881,34.0311877
"232","SRI_SOUTH_POINT_E","SSOP02",-120.1192,33.891567
"233","SRI_SOUTH_POINT_W","SSOP01",-120.124883,33.894167
"234","SRI_TRANCION_CANYON_E","STRC02",-120.153,33.90725
"235","SRI_TRANCION_CANYON_W","STRC01",-120.159117,33.91035
"236","STILLWATER_DC","SSTL02",-121.9440143,36.5597289
"237","STILLWATER_UC","SSTL01",-121.9473202,36.5601161
"238","STOCKTON_CEN","SSTK01",-122.0500098,36.9462276
"239","SURF_CEN","SSRF01",-120.64252,34.63022
"240","TENERA_CEN","STNR01",-120.8954808,35.2386309
"241","TERRACE_DC","STER02",-122.0642891,36.9448714
